D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_16_732.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_16_732.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_16_732.jpg,0,0,0,2.799642E-06
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_16_800.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_16_800.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_16_800.jpg,0,0,0,3.199311E-06
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_16_875.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_16_875.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_16_875.jpg,0,0,0,3.963407E-06
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_16_949.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_16_949.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_16_949.jpg,0,0,0,1.211326E-05
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_021.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_021.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_021.jpg,0,0,0,1.31442E-05
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_095.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_095.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_095.jpg,0,0.1445478,0,0.04907414
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_172.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_172.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_172.jpg,0,0.3703587,0,0.313385
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_244.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_244.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_244.jpg,0,0.557565,0,0.6277114
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_321.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_321.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_321.jpg,0,0.7884999,0,1.315564
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_400.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_400.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_400.jpg,0,1,0,2.141621
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_471.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_471.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_471.jpg,0,1,0,3.058965
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_537.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_537.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_537.jpg,0,1,0,3.760728
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_604.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_604.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_604.jpg,0,1,0,4.463925
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_674.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_674.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_674.jpg,-0.15,1,0,5.389942
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_744.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_744.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_744.jpg,-0.3,1,0,6.069761
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_813.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_813.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_813.jpg,0,1,0,6.979976
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_882.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_882.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_882.jpg,0,1,0,7.663133
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_17_951.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_17_951.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_17_951.jpg,0,1,0,8.568148
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_18_022.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_18_022.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_18_022.jpg,0,1,0,9.242132
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_18_095.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_18_095.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_18_095.jpg,0,1,0,10.13486
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_18_163.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_18_163.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_18_163.jpg,-0.15,1,0,10.79378
D:\Self Driving Car\Data\IMG\center_2023_09_01_19_03_18_242.jpg,D:\Self Driving Car\Data\IMG\left_2023_09_01_19_03_18_242.jpg,D:\Self Driving Car\Data\IMG\right_2023_09_01_19_03_18_242.jpg,0,1,0,11.47562
